Name	Species	Reference	Accession	Source|Version|Database|Link
AqbHLH013	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G396700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH014	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G410100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH015	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G411400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH016	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G436500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH017	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G040100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH018	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G040200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH019	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G048900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH020	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G157700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH021	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G178300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH022	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G212000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH023	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G241000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH024	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G290700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH025	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G311100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH026	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G332300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH027	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G332800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH028	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G335600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH029	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G371400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH030	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G393900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH031	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G399200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH032	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G415100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH033	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G425400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH034	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G425900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH035	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G435000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH036	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G016900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH037	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G034800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH038	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G068100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH039	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G070300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH040	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G084500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH041	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G085300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH042	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G118500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH043	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G122900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH044	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G183200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH045	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G212300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH046	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G217600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH047	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G223800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH048	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G233700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH049	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G283800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH050	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G283900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH051	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G315800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH052	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G333000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH053	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G334900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH054	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G378400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH055	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G382100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH056	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G395700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH057	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G427100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH058	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G062200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH059	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G246200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH060	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G268900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH061	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G283600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH062	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G028500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH063	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G038300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH064	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G042200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH065	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G100400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH066	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G135300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH067	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G139300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH068	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G147300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH069	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G147500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH070	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G150900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH071	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G160500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH072	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G163100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH073	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G188900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH074	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G237900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH075	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G238000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH076	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G239900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH077	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G269000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH078	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G338900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH079	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G340300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH080	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G413500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH081	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G421600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH082	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G421800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH083	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G450000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH084	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G467800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH085	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G469700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH086	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G003100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH087	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G064400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH088	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G064600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH089	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G066900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH090	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G075100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH091	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G096700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH092	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G122000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH093	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G127300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH094	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G156400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH095	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G245400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH096	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G259000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH097	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G282100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH098	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G285000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH099	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G285100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH100	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G303600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH101	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G007900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH102	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G033100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH103	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G055800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH104	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G142700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH105	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G147400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH106	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G147500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH107	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G154500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH108	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G155000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH109	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G155200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH110	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G156100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH112	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G163200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH113	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G166200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH114	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G303300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH115	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G314200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH116	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G398900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH117	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G421900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH118	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G424700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH119	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G440400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
Aradu.01B4C.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.01B4C.1	supplement data
Aradu.023N4.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.023N4.1	supplement data
Aradu.0572C.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.0572C.1	supplement data
Aradu.065GY.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.065GY.1	supplement data
Aradu.0DZ84.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.0DZ84.1	supplement data
Aradu.0K58L.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.0K58L.1	supplement data
Aradu.10L0H.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.10L0H.1	supplement data
Aradu.1124E.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.1124E.1	supplement data
Aradu.1M0AQ.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.1M0AQ.1	supplement data
Aradu.1QN19.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.1QN19.1	supplement data
Aradu.25NPV.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.25NPV.1	supplement data
Aradu.29A27.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.29A27.1	supplement data
Aradu.33ULW.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.33ULW.1	supplement data
Aradu.38JU0.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.38JU0.1	supplement data
Aradu.394BE.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.394BE.1	supplement data
Aradu.45U0D.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.45U0D.1	supplement data
Aradu.47FME.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.47FME.1	supplement data
Aradu.4NW8B.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.4NW8B.1	supplement data
Aradu.4P1MR.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.4P1MR.1	supplement data
Aradu.4U54R.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.4U54R.1	supplement data
Aradu.53P8J.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.53P8J.1	supplement data
Aradu.573UI.1	Arachis duranensis	https://doi.org/10.1371/journal.pone.0181843	Aradu.573UI.1	supplement data
