AtbHLH061	AT5G10570.1		Encodes a myo-inositol hexakisphosphate kinase	IIIb	Encodes a myo-inositol hexakisphosphate kinase.
AtbHLH004	AT4G17880.1	MYC4	Acts together with MYC2 and MYC3 to activate JA-responses; functions in blue light mediated secondary cell wall biogenesis via regulation of NST1 expression	III(d+e)	MYC4 is bHLH transcriptional regulator. It functions  as a JAZ-interacting transcription factor that acts together with MYC2 and MYC3 to activate JA-responses. It also functions in blue light mediated secondary cell wall biogenesis via regulation of NST1 expression. MYC4 directly binds to NST1 promoter and activates its expression.
AtbHLH020	AT2G22770.1	NAI1	Regulates the development of ER bodies; involves in response to the endophytic fungus Piriformospora indica	IVa	Regulates the development of ER bodies. also involves in response to the endophytic fungus Piriformospora indica.
AtbHLH017	AT2G46510.1	AIB/JAM1	Involved in response to ABA; functions redundantly with bHLH3, bHLH13 and bHLH14 to negatively regulate jasmonate responses	III(d+e)	Encodes a nuclear localized BLH domain containing transcriptional activator involved in response to ABA. Overexpression confers enhanced ABA responsiveness while loss of function mutants are ABA sensitive.bHLH17 interacts with JAZ proteins, and functions redundantly with bHLH3, bHLH13 and bHLH14 to negatively regulate jasmonate responses.
AtbHLH021	AT2G16910.1	AMS	Involved in tapetal cell development, that directly regulates MGT5 expression in tapetum cells; loss of function mutations are male sterile	Orphans	Encodes a basic helix-loop helix transcription factor involved in tapetal cell development, that directly regulates MGT5 expression in tapetum cells. Loss of function mutations are male sterile. AMS binds to a region termed the E box of target gene promoters.
AtbHLH135	AT1G74500.1	BRI1/BS1/PRE3/TMO7	Acts downstream of MP in root initiation; promotes the correct definition of the  hypophysis cell division plane	XV	Encodes a basic helix/loop/helix transcription factor that acts downstream of MP in root initiation. TMO7 protein moves  to the hypophysis and to vascular cells, contributing to MP-dependent root formation. Promotes the correct definition of the  hypophysis cell division plane.
AtbHLH073	AT5G67110.1	ALC	Involved in fruit dehiscence	VII(a+b)	encodes a myc/bHLH transcription factor-like  protein.  Gene product is involved in fruit  dehiscence.  Mutant siliques fail to dehisce.
AtbHLH148	AT3G06590.1	AIF2/RITF1	Involved in the detoxification of reactive oxygen species generated by salt stress	Orphans	Encodes RITF1, a bHLH transcription factor that regulates the transcription of several genes involved in the detoxification of reactive oxygen species generated by salt stress.
2010Pau.AtbHLH134	AT5G15160.1	BNQ2	Required for appropriate regulation of flowering time; directly and negatively regulated by AP3 and PI in petals; heterodimerizes with and negatively regulates bHLHs		BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.
AtbHLH161	AT3G47710.1	BNQ3	Required for appropriate regulation of flowering time and may also have a role in regulating light responses; directly and negatively regulated by AP3 and PI in petals; heterodimerizes with and negatively regulates bHLHs	XV	BNQ3 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals. Required for appropriate regulation of flowering time.May also have a role in regulating light responses.
AtbHLH068	AT4G29100.1	PFA3	Expressed primarily in vascular system; overexpression causes ABA  sensitivity; together with PFA1 and PFA2 governs the competence of pericycle cells to initiate lateral root primordium formation	X	Member of basic helix loop helix protein family. Expressed primarily in vascular system. Overexpression causes ABA  sensitivity. Together with PFA1 and PFA2 governs the competence of pericycle cells to initiate lateral root primordium formation. Governs the competence of pericycle cells to initiate lateral root primordium formation.
AtbHLH010	AT2G31220.1		Together with bHLH089 and bHLH091 is important for the normal transcriptome of the developing Arabidopsis anther, possibly by forming a feed-forward loop with DYT1	II	Encodes a bHLH transcription factor that together with bHLH089 and bHLH091 is important for the normal transcriptome of the developing Arabidopsis anther, possibly by forming a feed-forward loop with DYT1.
AtbHLH089	AT1G06170.1		Together with bHLH010 and bHLH091 is important for the normal transcriptome of the developing Arabidopsis anther, possibly by forming a feed-forward loop with DYT1; activates the expression of ATA20, EXL4, and MEE48	II	Encodes a bHLH transcription factor that together with bHLH010 and bHLH091 is important for the normal transcriptome of the developing Arabidopsis anther, possibly by forming a feed-forward loop with DYT1.  Recognizes the TCATGTGC  box to activate the expression of target genes, including ATA20, EXL4, and MEE48.
AtbHLH091	AT2G31210.1		Together with bHLH089 and bHLH010 is important for the normal transcriptome of the developing Arabidopsis anther, possibly by forming a feed-forward loop with DYT1	II	Encodes a bHLH transcription factor that together with bHLH089 and bHLH010 is important for the normal transcriptome of the developing Arabidopsis anther, possibly by forming a feed-forward loop with DYT1.
AtbHLH104	AT4G14410.1		Involved in stress mediated signaling during germination	IVc	Basic helix loop helix transcription factor involved in stress mediated signaling during germination.
AtbHLH115	AT1G51070.2		Plays a role in iron homeostasis; targets PYE and other genes involved in response to Fe	IVc	bHLH115 is a basic helix loop helix protein of the IVc subgroup that plays a role in iron homeostasis. It interacts with related family members and targets PYE and other genes involved in response to Fe.
AtbHLH121	AT3G19860.2	URI	Acts as an essential part of the iron deficiency signaling pathway; induces transcription of bHLH38/39/100/101	IVb	A basic helix?loop?helix (bHLH) transcription factor which acts as an essential part of the iron deficiency signaling pathway. The phosphorylated form of URI accumulates under Fe deficiency, forms heterodimers with subgroup IVc proteins, and induces transcription of bHLH38/39/100/101.  These transcription factors in turn heterodimerize with FIT and drive  the transcription of IRT1 and FRO2 to increase Fe uptake.
AtbHLH034	AT3G23210.1	IDT1	Induced by abiotic stressors including ABA, salt and glucose and involved in Fe regulation; PGR, a plasma membrane glucose responsive regulator is a target	IVc	bHLH34 is a basic helix loop helix transcription factor. It can bind GAGA and E-box cis elements.It is induced by abiotic stressors including ABA, salt and glucose. PGR, a plasma membrane glucose responsive regulator is a target of bHLH34. Involved in Fe regulation.
AtbHLH100	AT2G41240.1		Functions as a key regulator of iron-deficiency responses independent of the master regulator FIT; likely regulates genes involved in the distribution of iron within the plant; PIP5K enzyme family member	Ib(2)	Encodes a member of the basic helix-loop-helix transcription factor family protein. Functions as a key regulator of iron-deficiency responses independent of the master regulator FIT. Likely regulates genes involved in the distribution of iron within the plant. Phosphatidylinositol 4-phosphate 5-kinase (PIP5K) enzyme family member.
AtbHLH102	AT1G69010.1	BIM2	PAR1-interacting protein that positively modulates the shade avoidance syndrome in Arabidopsis seedlings	Va	Encodes BES1-INTERACTING MYC-LIKE 2 (BIM2), a PAR1 (PHYTOCHROME RAPIDLY REGULATED 1)-interacting protein that positively modulates the shade avoidance syndrome in Arabidopsis seedlings.
AtbHLH141	AT5G38860.1	BIM3	PAR1-interacting protein that positively modulates the shade avoidance syndrome in Arabidopsis seedlings	Va	Encodes BES1-INTERACTING MYC-LIKE 3 (BIM3), a PAR1 (PHYTOCHROME RAPIDLY REGULATED 1)-interacting protein that positively modulates the shade avoidance syndrome in Arabidopsis seedlings.
AtbHLH046	AT5G08130.5	BIM1	Involved in brassinosteroid signaling; synergistically interacts with BES1; positively modulates the shade avoidance syndrome in Arabidopsis seedlings	Va	Encodes a basic helix-loop-helix (bHLH) family protein BIM1 (BES1-INTERACTING MYC-LIKE 1), involved in brassinosteroid signaling. It synergistically interacts with BES1 to bind to E box sequences (CANNTG). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.
AtbHLH044	AT1G18400.1	BEE1	Positively modulates the shade avoidance syndrome in Arabidopsis seedlings	XII	Encodes the brassinosteroid signaling component BEE1 (BR-ENHANCED EXPRESSION 1). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.
AtbHLH058	AT4G36540.1	BEE2	Positively modulates the shade avoidance syndrome in Arabidopsis seedlings	XII	Encodes the brassinosteroid signaling component BEE2 (BR-ENHANCED EXPRESSION 2). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.
AtbHLH050	AT1G73830.1	BEE3	Positively modulates the shade avoidance syndrome in Arabidopsis seedlings	XII	Encodes the brassinosteroid signaling component BEE3 (BR-ENHANCED EXPRESSION 3). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.
AtbHLH075	AT1G25330.1	CES	Positive regulator of brassinosteroid biosynthesis	XII	Encodes CESTA, a positive regulator of brassinosteroid biosynthesis.
AtbHLH063	AT4G34530.1	CIB1	Interacts with CRY2 in a blue light-specific manner in yeast and Arabidopsis cells; acts together with additional CIB1-related proteins to promote CRY2-dependent floral initiation	XII	Encodes a transcription factor CIB1 (cryptochrome-interacting basic-helix-loop-helix). CIB1 interacts with CRY2 (cryptochrome 2) in a blue light-specific manner in yeast and Arabidopsis cells, and it acts together with additional CIB1-related proteins to promote CRY2-dependent floral initiation. CIB1 positively regulates FT expression.
AtbHLH076	AT1G26260.1	CIB5	Interacts with CRY2 and forms heterodimer with CIB1 in vitro; Regulates flowering time redundantly with CIB1	XII	Encodes CIB5 (cryptochrome-interacting basic-helix-loop-helix).  Related to CIB1 (AT4G34530).  CIB5 interacts with CRY2 and forms heterodimer with CIB1 in vitro. Regulates flowering time redundantly with CIB1.
AtbHLH160	AT1G71200.1	CITF1	Induced by copper deficiency and seems to mediate copper uptake along with SPL7; alternative splicing variant in response to MeJa treatment has potential novel function where it can dimerize but not bind DNA, resulting in a function opposite of the primary isoform	Ib(2)	bHLH160 transcription factor. Induced by copper deficiency and seems to mediate copper uptake along with SPL7. Alternative splicing variant in response to MeJa treatment has potential novel function where it can dimerize but not bind DNA, resulting in a function opposite of the primary isoform.
AtbHLH137	AT5G50915.1	CKG	Acts within a cytokinin signaling pathway to promote cell proliferation and expansion	XII	Member of the bHLH family of transcription factors. Acts within a cytokinin signaling pathway to promote cell proliferation and expansion.
AtbHLH022	AT4G21330.1	DYT1	Strongly expressed in the tapetum from late anther stage 5 to early stage 6, and at a lower level in meiocytes; mutants exhibit abnormal anther morphology beginning at anther stage 4; regulates the expression of tapetum preferential genes for pollen development	Orphans	Encodes a bHLH transcription factor strongly expressed in the tapetum from late anther stage 5 to early stage 6, and at a lower level in meiocytes. dyt1 mutant exhibits abnormal anther morphology beginning at anther stage 4. DYT1 acts downstream of SPL/NZZ and EMS1/EXS , and regulates the expression of downstream genes like AMS, MS1 and other tapetum preferential genes for pollen development, primarily via TDF1.
AtbHLH097	AT3G24140.1	FMA	Differentiation of stomatal guard cells and to halt proliferative divisions in their immediate precursors; expressed in and required for halting divisions at the end of the stomatal lineage; role in the promotion of guard cell fate and in controlling the transition from guard mother cell to guard cell	Ia	Encodes a basic helix-loop-helix transcription factor whose activity is required to promote differentiation of stomatal guard cells and to halt proliferative divisions in their immediate precursors. It fulfills its role through recruitment of  the Arabidopsis Retinoblastoma homologue, RETINOBLASTOMA-RELATED (RBR). Both transcript and protein are expressed in and are required for halting divisions at the end of the stomatal lineage.  It also has a role in the promotion of guard cell fate and in controlling the transition from guard mother cell to guard cell. Its transcript levels change after inducing MUTE expression in a mute background.
AtbHLH029	AT2G28160.1	FIT1	Regulates iron uptake responses	III(a+c)	Encodes a putative transcription factor that regulates iron uptake responses.  mRNA is detected in the outer cell layers of the root and accumulates in response to iron deficiency.  The expression of many iron-regulated genes is dependent on FIT1.  It specifically regulates FRO2 at the level of mRNA accumulation and IRT1 at the level of protein accumulation.Similar to FER in tomato and is a regulator of iron uptake.  It is post-transcriptionally controlled.
AtbHLH080	AT1G35460.1	FBH1/ATCFL1/CFLAP2	Involved in CFL1-mediated regulation of cuticle development	IX	Encodes a bHLH transcription factor involved in CFL1-mediated regulation of cuticle development. Overexpression leads to abnormal cuticle development.
AtbHLH122	AT1G51140.1	FBH3/CFLAP1/AKS1	Involved in photoperiodism flowering; negatively regulates cuticle development; negatively regulates cuticle development; binds to the potassium channel gene KAT1 as a dimer; inhibited in response to ABA	IX	Encodes a basic helix-loop-helix-type transcription factor involved in photoperiodism flowering. Binds to the E-box cis-element in the CONSTANS (CO) promoter to regulate flowering. Interacts with CFL1 and along with CFLAP2 negatively regulates cuticle development.  Binds to the potassium channel gene KAT1 as a dimer. The DNA-binding capacity is inhibited in response to ABA through phosphorylation-dependent monomerization.
AtbHLH001	AT5G41315.1	GL3/MYC6.2	Interacts with GL1 in trichome development; interacts with JAZ and DELLA proteins to regulate trichome initiation	IIIf	Encodes a basic helix loop helix domain protein that interacts with GL1 in trichome development.GL3 interacts with JAZ and DELLA proteins to regulate trichome initiation.
AtbHLH088	AT5G67060.1	HEC1	Involved in transmitting tract and stigma development; local modulator of auxin and cytokinin responses to control gynoecium development; affects auxin transport; inhibits thermomorphogenesis	VIIIb	Encodes a bHLH transcription factor that is involved in transmitting tract and stigma development and acts as a local modulator of auxin and cytokinin responses to control gynoecium development. HEC1 affects auxin transport by acting as a transcriptional regulator of PIN1 and PIN3. Inhibits thermomorphogenesis.
AtbHLH037	AT3G50330.1	HEC2	Involved in transmitting tract and stigma development; inhibits thermomorphogenesis	VIIIb	Encodes a bHLH transcription factor that is involved in transmitting tract and stigma development. Inhibits thermomorphogenesis.
AtbHLH043	AT5G09750.1	HEC3	Involved in transmitting tract and stigma development	VIIIb	Encodes a bHLH transcription factor that is involved in transmitting tract and stigma development.
AtbHLH064	AT2G18300.3	HBI1	Involved in positive regulation of cell elongation and proliferation and, negative control of plant immunity; one component of PRE-IBH1-HBI1 tripartite module	XII	DNA-binding bHLH protein involved in positive regulation of cell elongation and proliferation and, negative control of plant immunity.One component of PRE-IBH1-HBI1 tripartite module.
AtbHLH013	AT1G01260.1	JAM2	Interacts with JAZ proteins; functions redundantly with bHLH3, bHLH14 and bHLH17 to negatively regulate jasmonate responses	III(d+e)	bHLH13 interacts with JAZ proteins, and functions redundantly with bHLH3, bHLH14 and bHLH17 to negatively regulate jasmonate responses.
AtbHLH003	AT4G16430.1	JAM3	Interacts with JAZ proteins; functions redundantly with bHLH13, bHLH14 and bHLH17 to negatively regulate jasmonate responses	III(d+e)	bHLH3 interacts with JAZ proteins, and functions redundantly with bHLH13, bHLH14 and bHLH17 to negatively regulate jasmonate responses.
AtbHLH066	AT2G24260.1	LRL1/DROP1	Regulates root hair and sperm cell development; homolog of the Lotus japonicus LjRHL1 gene	XI	Encodes a basic helix-loop-helix (bHLH) protein that regulates root hair and sperm cell development.  One of the three Arabidopsis homologs of the Lotus japonicus ROOTHAIRLESS1 (LjRHL1) gene: At2g24260 (AtLRL1), At4g30980 (AtLRL2), and At5g58010 (AtLRL3).
AtbHLH069	AT4G30980.1	LRL2/DROP2	Regulates root hair and sperm cell development; homolog of the Lotus japonicus LjRHL1	XI	Encodes a basic helix-loop-helix (bHLH) protein that regulates root hair and sperm cell development.  One of the three Arabidopsis homologs of the Lotus japonicus ROOTHAIRLESS1 (LjRHL1) gene: At2g24260 (AtLRL1), At4g30980 (AtLRL2), and At5g58010 (AtLRL3).
AtbHLH082	AT5G58010.1	LRL3/DROP3	Regulates root hair development; homolog of the Lotus japonicus LjRHL1 gene	XI	Encodes a basic helix-loop-helix (bHLH) protein that regulates root hair development.  One of the three Arabidopsis homologs of the Lotus japonicus ROOTHAIRLESS1 (LjRHL1) gene: At2g24260 (AtLRL1), At4g30980 (AtLRL2), and At5g58010 (AtLRL3).
AtbHLH156	AT2G27230.1	LHW	Promotes the production of stele cells in root meristems; required to establish and maintain the normal vascular cell number and pattern in primary and lateral roots	XIII	Encodes a nuclear-localized transcriptional activator with weak sequence similarity to basic helix-loop-helix(bHLH)-domain proteins.  It promotes the production of stele cells in root meristems and is required to establish and maintain the normal vascular cell number and pattern in primary and lateral roots.
AtbHLH157	AT1G64625.1	LHL3/FST/LL1	Required for normal meiotic entry and the establishment of meiotic synchrony; plays a role in xylem differentiation downstream of auxin	XIII	Encodes a plant-specific basic helix-loop-helix (bHLH) protein that is required for normal meiotic entry and the establishment of meiotic synchrony.  It plays a role in xylem differentiation downstream of auxin.
AtbHLH026	AT1G02340.1	HFR1/REP1/RSF1/FBI1	Encodes a light-inducible and involved in phytochrome signaling; mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses; mutants also show blue light response defects	VII(a+b)	Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1.
AtbHLH045	AT3G06120.1	MUTE	Controls meristemoid differentiation during stomatal development; is required for SLGCs differentiation as pavement cells	Ia	Encodes a basic helix-loop-helix (bHLH) protein that controls meristemoid differentiation during stomatal development.  In the absence of MUTE, meristemoids abort after excessive asymmetric divisions and fail to differentiate stomata.  MUTE expression in the meristemoid is required for SLGCs differentiation as pavement cells. Epidermal cells lose their competence to respond to MUTE overexpression during cotyledon development.
AtbHLH067	AT3G61950.1	MYC67	Interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance	Ia	MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance.
AtbHLH070	AT2G46810.1	MYC70	Interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance	Ia	MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance.
AtbHLH028	AT5G46830.1	NIG1	Calcium-binding and involved in salt stress signaling	III(d+e)	Calcium-binding transcription factor involved in salt stress signaling.
AtbHLH136	AT5G39860.1	PRE1/BNQ1	Forms a pair with IBH1 that functions downstream of BZR1 to mediate brassinosteroid regulation of cell elongation; required for appropriate regulation of flowering time	XV	Encodes PRE1 (PACLOBUTRAZOL RESISTANCE1).  PRE1 and IBH1 form a pair of antagonistic HLH/bHLH transcription factors that function downstream of BZR1 to mediate brassinosteroid regulation of cell elongation.  BNQ1 is directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.
AtbHLH111	AT1G31050.1	PFA1	Together with PFA2 and PFA3 governs the competence of pericycle cells to initiate lateral root primordium formation		Together with PFA2 and PFA3 governs the competence of pericycle cells to initiate  lateral root primordium formation.
AtbHLH123	AT3G20640.1	PFA6	Governs the competence of pericycle cells to initiate lateral root primordium formation	X	Governs the competence of pericycle cells to initiate lateral root primordium formation.
AtbHLH015	AT2G20180.2	PIF1	Key negative regulator of phytochrome-mediated seed germination; acts by inhibiting chlorophyll biosynthesis, light-mediated suppression of hypocotyl elongation and far-red light-mediated suppression of seed germination and promoting negative gravitropism in hypocotyls; preferentially interacts with the Pfr forms of PhyA PhyB; negatively regulates GA3 oxidase expression	VII(a+b)	Encodes a novel Myc-related bHLH transcription factor that has transcriptional activation activity in the dark.  It is a key negative regulator of phytochrome-mediated seed germination and acts by inhibiting chlorophyll biosynthesis, light-mediated suppression of hypocotyl elongation and far-red light-mediated suppression of seed germination, and promoting negative gravitropism in hypocotyls.  Light reduces this activity in a phy-dependent manner.  The protein preferentially interacts with the Pfr forms of Phytochrome A (PhyA) and Phytochrome B (PhyB), is physically associated with APRR1/TOC1 and is degraded in red (R) and far-red (FR) light through the ubiquitin (ub)-26S proteasome pathway to optimize photomorphogenic development in Arabidopsis.  It also negatively regulates GA3 oxidase expression.
AtbHLH065	AT3G59060.2	PIL6/A-PUT2/PIF5	Member of PIF3 transcription factor family; involved in shade avoidance; functions as negative regulator of PhyB;  controls the resistance to B. cinerea in a COI1- and EIN2-dependent manner	VII(a+b)	Encodes a novel Myc-related bHLH transcription factor, which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family. Involved in shade avoidance. Functions as negative regulator of PhyB. Protein levels are modulated by phytochrome B. Controls the resistance to B. cinerea in a COI1- and EIN2-dependent manner.
AtbHLH009	AT2G43010.1	PIF4/SRL2	Negatively regulates phyB mediated red light responses; involved in shade avoidance response; involved in the regulation of response to nutrient levels; controls the resistance to B. cinerea in a COI1- and EIN2-dependent manner	VII(a+b)	Isolated as a semidominant mutation defective in red -light responses. Encodes a nuclear localized  bHLH protein that interacts with active PhyB protein. Negatively regulates phyB mediated red light responses. Involved in shade avoidance response. Protein abundance is negatively regulated by PhyB.Involved in the regulation of response to nutrient levels. Controls the resistance to B. cinerea in a COI1- and EIN2-dependent manner.
AtbHLH072	AT5G61270.1	PIF7	Interacts specifically with the far-red light absorbing Pfr form of phyB; rapidly migrates to intranuclear  speckles upon light exposure, where it colocalizes with phyB; role as negative regulator of phyB-mediated seedling deetiolation	VII(a+b)	Basic helix-loop-helix (bHLH) phytochrome interacting  factor. Interacts specifically with the far-red light–absorbing Pfr form of phyB through a conserved  domain called the active phyB binding motif. Upon light exposure, PIF7 rapidly migrates to intranuclear  speckles, where it colocalizes with phyB. Role as negative regulator of phyB-mediated seedling deetiolation.
AtbHLH047	AT3G47640.1	PYE	Regulating response to iron deficiency in Arabidopsis roots	IVb	Encodes POPEYE (PYE), a bHLH transcription factor regulating response to iron deficiency in Arabidopsis roots.
AtbHLH086	AT5G37800.1	RSL1	Acts redundantly with RHD6 in root hair development	VIIIc(1)	Basic helix-loop-helix transcription factor similar to RHD6. Acts redundantly with RHD6 in root hair development.
AtbHLH085	AT4G33880.1	RSL2	Required for root-hair growth; expressed concurrently with RSL4; expression was controlled by RHD6 and RSL1	VIIIc(2)	RSL2 was expressed concurrently with RSL4 and its expression was controlled by RHD6 and RSL1. Required for root-hair growth.
AtbHLH054	AT1G27740.1	RSL4	Sufficient to promote postmitotic cell growth in root-hair cells; direct transcriptional target of RHD6	VIIIc(2)	Basic helix-loop-helix (bHLH) transcription factor  that is sufficient to promote postmitotic cell growth in root-hair cells. RSL4 is a direct transcriptional target of RHD6
AtbHLH033	AT1G12860.1	ICE2/SCRM2	Participates in the response to deep freezing through the cold acclimation-dependent pathway	IIIb	Encodes ICE2 (Inducer of CBF Expression 2), a transcription factor of the bHLH family that participates in the response to deep freezing through the cold acclimation-dependent pathway.  Overexpression of ICE2 results in increased tolerance to deep freezing stress after cold acclimation.
AtbHLH024	AT4G36930.1	SPT	Mutants have abnormal, unfused carpels and reduced seed dormancy	VII(a+b)	Encodes a transcription factor of the bHLH protein family. Mutants have abnormal, unfused carpels and reduced seed dormancy.
AtbHLH098	AT5G53210.1	SPCH	Necessary and sufficient for the asymmetric divisions that establish the stomatal lineage in Arabidopsis thaliana; substrate of a kinase MPK3 and MPK6; transcript levels change after inducing MUTE expression in a mute background	Ia	Encodes a basic helix-loop-helix (bHLH) transcription factor that is necessary and sufficient for the asymmetric divisions that establish the stomatal lineage in Arabidopsis thaliana.  Expression of SPCH in young epidermal cells allows these cells to make asymmetric divisions.  SPCH is a substrate of a kinase MPK3 and MPK6. Its transcript levels change after inducing MUTE expression in a mute background.
AtbHLH142	AT5G64340.1	SAC51	Upregulation reverses the dwarf phenotype caused by a loss-of-function mutation in ACL5, suggesting that activation may lead to the expression of a subset of genes required for stem elongation	XIV	Encodes a bHLH(basic helix-loop-helix)-type transcription factor SAC51 [suppressor of acaulis 51].  Upregulation of SAC51 reverses the dwarf phenotype caused by a loss-of-function mutation in ACL5 (Arabidopsis thaliana ACAULIS 5) gene, suggesting that activation of SAC51 may lead to the expression of a subset of genes required for stem elongation.
