ShortName	Species	ReferenceName	Reference	Accession	Source
AqbHLH014	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G410100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH015	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G411400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH016	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G436500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH017	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G040100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH018	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G040200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH019	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G048900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH020	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G157700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH021	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G178300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH022	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G212000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH023	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G241000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH024	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G290700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH025	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G311100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH026	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G332300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH027	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G332800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH028	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G335600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH029	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G371400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH030	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G393900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH031	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G399200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH032	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G415100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH033	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G425400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH034	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G425900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH035	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe2G435000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH036	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G016900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH037	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G034800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH038	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G068100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH039	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G070300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH040	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G084500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH041	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G085300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH042	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G118500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH043	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G122900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH044	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G183200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH045	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G212300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH046	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G217600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH047	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G223800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH048	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G233700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH049	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G283800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH050	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G283900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH051	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G315800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH052	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G333000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH053	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G334900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH054	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G378400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH055	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G382100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH056	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G395700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH057	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe3G427100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH058	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G062200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH059	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G246200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH060	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G268900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH061	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe4G283600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH062	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G028500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH063	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G038300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH064	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G042200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH065	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G100400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH066	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G135300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH067	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G139300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH068	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G147300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH069	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G147500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH070	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G150900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH071	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G160500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH072	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G163100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH073	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G188900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH074	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G237900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH075	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G238000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH076	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G239900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH077	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G269000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH078	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G338900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH079	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G340300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH080	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G413500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH081	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G421600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH082	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G421800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH083	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G450000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH084	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G467800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH085	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe5G469700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH086	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G003100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH087	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G064400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH088	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G064600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH089	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G066900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH090	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G075100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH091	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G096700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH092	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G122000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH093	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G127300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH094	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G156400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH095	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G245400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH096	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G259000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH097	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G282100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH098	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G285000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH099	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G285100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH100	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe6G303600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH101	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G007900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH102	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G033100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH103	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G055800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH104	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G142700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH105	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G147400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH106	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G147500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH107	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G154500.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH108	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G155000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH109	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G155200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH110	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G156100.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH112	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G163200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH113	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G166200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH114	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G303300.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH115	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G314200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH116	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G398900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH117	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G421900.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH118	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G424700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH119	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe7G440400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
Aradu.01B4C.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.01B4C.1	supplement data
Aradu.023N4.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.023N4.1	supplement data
Aradu.0572C.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.0572C.1	supplement data
Aradu.065GY.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.065GY.1	supplement data
Aradu.0DZ84.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.0DZ84.1	supplement data
Aradu.0K58L.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.0K58L.1	supplement data
Aradu.10L0H.1	arachis_duranensis	2017Gao	https://doi.org/10.1371/journal.pone.0181843	Aradu.10L0H.1	supplement data
